"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","platform_code"
"18229411",,"Avenida Dom Helder Camara próximo ao 3578","Norte Shopping","-22.887235772215778","-43.28194506246214","18229411",,"0",,,
"18229467",,"Estrada Do Portela próximo ao 442","Praça Portelinha","-22.867440074089046","-43.34451401580532","18229467",,"0",,,
"18229465",,"Estrada Do Portela próximo ao 350",,"-22.868943179429913","-43.3430015633482","18229465",,"0",,,
"18229471",,"Estrada Do Portela próximo ao 554",,"-22.86587019948164","-43.34662841012363","18229471",,"0",,,
"18229469",,"Estrada Do Portela próximo ao 496",,"-22.866909267961226","-43.34553594255059","18229469",,"0",,,
"18246675",,"Rua Fernandes Sampaio próximo ao 545",,"-22.891603041933866","-43.39452518626402","18246675",,"0",,,
"18229459",,"Avenida Ministro Edgard Romero próximo ao 64",,"-22.874357403813665","-43.33699951558056","18229459",,"0",,,
"18246673",,"Rua Fernandes Sampaio próximo ao 522",,"-22.88959761505662","-43.39436901472641","18246673",,"0",,,
"18229457",,"Rua Carvalho De Souza próximo ao 274",,"-22.87521575563399","-43.3362532449169","18229457",,"0",,,
"18229463",,"Estrada Do Portela próximo ao 203","Madureira Shopping","-22.870981954576433","-43.341462055135594","18229463",,"0",,,
"18229461",,"Estrada Do Portela próximo ao 222",,"-22.872859438971346","-43.33848974611306","18229461",,"0",,,
"20824880",,"BRT General Olímpio - Sent. Santa Cruz",,"-22.92223611467755","-43.67962398293468","20824880",,"0","20824883",,
